Index,Sinhala Comment
127,සුරංග නියමයිඅපේ උත්තමාචාරයසුරංගඔයාඋමායාගයාන්ඉදුවරරොශාන් ඔයාලා හැමෝම රිජුව ප්රශ්න ඇහුවානියම දුන්නා එයාලාගේ යථා ස්වබාවයම එලියට ගත්තාඇපත් නැතිවෙන්නඉස්සර අපි දෙරණ බැලුවාදැන් සිරසමයි බලන්නේඒ ඔයාලාගේ අපක්ශපාතිබව නිසාමයිරටට මොකද උනේනියමයිමේ අලුතෙන් අව පොහොට්ටුවේ මනොජ් ගමගේහිතේ එකක් තියාගෙන කට්න් එකක් කියන හැට් නියමයි සුරංග උමායා එලියට ගත්තු හැටි හැර අනිත් තුන්දෙනාම කරන බොරුව මිනිස්සුන්ට නියමටම ඔප්පුකරලාම පෙන්නුවා
128,යාපනේ මිනිස්සු මට මුනගැහුනා මගේ රැකියාවේදිඑයාලත් දැන් වෙනස් වෙලාජනාධිපතිතුමායි පුංචි කැබ්නයට්ටුවයි වැඩ ටික කරන ලස්සන දැකලා අවුරුද්ද ක් තිස්සේ මේ මිනිස්සු කරපු හොරකම් දැකලා එයාලා හැමෝම මාලිමාවට හැරිලාමිනිස්සු මෝඩ නෑ දැන්බඩු මිලේ එල්ලෙන්නේ නැහැමේ ආණ්ඩුවට ලොකු බලයක් අවොත් එයාලා ලස්සනට මේ අපේ රට හදයි කියලා හැමෝම විශ්වස කරනවාසිරසේ හමෝටටමස්තූතිමේ කරන ජාතික මෙහේවරට
129,නම්කරන්න පොහොට්ටුවේ අදූශිත උන් එකේ මුහුණු ප්රාදේශීයව හදුනනවා අතීත ක්රියාවලිය මිනිස්සු දන්නවා පොහොට්ටුවේ
130,සුරා
131,ඉතාමත් නිවැරදි ආදර්ශමත් කරුනු දැක්වීමක් යට ක්
132,සුරංග ඔන්න ඕකුන් තුන් දෙනාව මඩවන්න එපා අනේ පව් නලින්ද සහෝදරයා සුපිරි
133,සුරංග ඔබට ඉස්තුති
134,නියම ප්රෝග්රෑම් එක
135,අනුරාධපුර සෙහාන් සේමසිංහයාව ගෙනැල්ලා මේවගේ ප්රස්න ටිකක් අහ්න්න ම්හහත්තයෝඑ ගොනා කොහොම උත්තර දෙයිද
136,සජිත් වටේ ඉන්න ඔක්කොටම ට්රැක්දන්න අය ඉඳගෙන කරපු හරිය මදයිසුරංග අපෙන් එකෙකි ඒ මිනිසා
